Area,Item,Year,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,hg/ha_yield
China,Soybeans,2014,2276.4,299.53,13.9,35852.9
Brazil,Soybeans,2001,2249.4,469.31,10.0,39655.4
China,Soybeans,2000,1121.5,262.62,20.8,34449.8
United States of America,Potatoes,2015,928.5,45.76,25.5,167687.8
China,Potatoes,2002,2621.8,340.31,21.3,168735.5
United States of America,Soybeans,2001,2147.4,220.36,13.1,35363.2
Australia,Maize,2013,1355.9,91.53,28.9,29439.7
China,Soybeans,2017,2392.9,469.78,32.4,38768.1
China,Wheat,2007,2580.2,373.79,23.5,46172.4
China,Potatoes,2012,680.5,401.2,11.9,178381.5
India,Wheat,2011,1092.4,7.53,15.0,32961.2
Brazil,Soybeans,2009,1267.9,58.38,31.6,29426.8
China,"Rice, paddy",2000,471.6,155.84,18.1,29681.7
Brazil,Maize,2000,1333.9,485.87,31.2,42741.1
Australia,"Rice, paddy",2013,1633.2,261.61,20.7,34480.9
China,Soybeans,2003,2750.4,125.02,20.3,34228.6
Brazil,Soybeans,2003,2845.7,299.63,27.4,39265.8
India,Soybeans,2005,1532.6,109.61,20.4,32683.3
Brazil,"Rice, paddy",2006,2748.4,136.43,26.2,33683.2
Brazil,Wheat,2004,2169.6,135.07,16.1,35624.3
Brazil,Wheat,2019,1281.8,485.91,34.1,40489.1
India,Soybeans,2016,2993.9,133.76,34.4,30709.9
China,Soybeans,2000,2012.7,340.51,23.3,41603.4
China,Maize,2016,2266.2,184.21,25.8,33633.4
Brazil,Wheat,2008,1166.1,93.67,11.0,35567.6
Brazil,"Rice, paddy",2002,2485.7,174.66,12.4,34797.5
India,Wheat,2007,1344.2,468.4,13.4,38340.8
United States of America,Maize,2006,2082.0,408.7,23.9,41670.6
China,Wheat,2001,2989.9,482.73,24.0,48271.6
India,Maize,2018,2260.1,448.61,32.2,41861.1
India,Potatoes,2010,2826.2,392.78,26.7,173087.2
India,Maize,2017,734.2,274.59,27.3,37388.1
Australia,Wheat,2003,2222.9,119.01,18.1,39126.8
Brazil,Wheat,2000,1764.9,254.65,25.9,42861.8
Australia,Maize,2007,2004.1,397.51,22.6,40977.7
Australia,Potatoes,2015,1058.1,12.65,26.1,230783.9
India,Potatoes,2013,2770.1,185.39,10.4,174291.3
Australia,Maize,2000,503.4,153.2,14.8,31656.6
India,Maize,2017,1803.4,468.11,27.4,39840.6
United States of America,Maize,2009,2668.9,370.51,27.4,42809.2
Brazil,Soybeans,2009,2485.3,405.15,31.7,38681.8
India,Potatoes,2012,824.5,35.93,19.9,198655.2
China,Maize,2014,1314.1,47.44,24.5,32662.3
Australia,"Rice, paddy",2016,400.8,411.39,19.0,32110.9
